2021-11-11T09:03:35.501Z [AUDIT] Token created by 'anonymous': tokenId='ba713e70-e939-4689-9aa5-27e3a1c0bd6e', issuer='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', subject='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', expiry=none, refreshable=false
2021-11-11T09:13:51.422Z [AUDIT] Token created by 'jffe@000': tokenId='bf67dd14-ef09-458d-98b0-b41b476bb16e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636622631422, refreshable=false
2021-11-11T09:13:51.424Z [AUDIT] Token created by 'jffe@000': tokenId='44d0f157-ec93-46dc-868c-f1c812f2e284', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636622631424, refreshable=false
2021-11-11T09:13:51.427Z [AUDIT] Token created by 'jffe@000': tokenId='33d78d3f-cfe9-4d45-84d2-a6a04c4d6e22', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636622631427, refreshable=false
2021-11-11T09:15:05.141Z [AUDIT] Token created by 'jffe@000': tokenId='5476043e-d9c9-44f5-b1e5-99b62b87658c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636622705141, refreshable=false
2021-11-11T09:23:51.495Z [AUDIT] Token created by 'jffe@000': tokenId='a256199b-400f-498a-af18-876a17603442', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623231495, refreshable=false
2021-11-11T09:23:51.495Z [AUDIT] Token created by 'jffe@000': tokenId='330e6543-e249-47fd-aa58-88130a08a186', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623231495, refreshable=false
2021-11-11T09:23:51.495Z [AUDIT] Token created by 'jffe@000': tokenId='455b4864-ee56-4787-b60c-e2608af9703c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623231495, refreshable=false
2021-11-11T09:23:51.495Z [AUDIT] Token created by 'jffe@000': tokenId='6fdcb9f6-97ae-42bf-87c3-45907793b177', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623231495, refreshable=false
2021-11-11T09:23:51.497Z [AUDIT] Token created by 'jffe@000': tokenId='cf01b28c-5384-4ee5-a1ab-56c4b405e307', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636623231495, refreshable=false
2021-11-11T09:25:53.140Z [AUDIT] Token created by 'jffe@000': tokenId='714d2d1a-6a6c-46db-9d32-8ded1658fef4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636623353140, refreshable=false
